Disease ID,Disease Name,Disease Class,associated_gene_id
C0004352,Autistic Disorder,developmental disorder of mental health,"100, 100187724, 100188314, 100188317, 100188816, 100188820, 100188832, 1007, 1008, 101928890, 10771, 11141, 11281, 1137, 1139, 1141, 114788, 116442, 116987, 117583, 121278, 1312, 133, 1356, 139411, 140733, 151556, 152330, 152789, 154, 158, 1588, 1600, 1610, 170572, 1717, 1719, 1745, 1746, 18, 1806, 1812, 1814, 192683, 1950, 1959, 200150, 2020, 205428, 2131, 220, 221035, 221037, 22871, 22941, 22999, 23078, 23178, 23245, 2332, 23394, 23705, 2550, 2554, 2555, 2556, 2557, 2558, 2560, 2562, 2571, 26047, 26056, 26470, 2690, 26960, 2697, 270, 27044, 27185, 27347, 2739, 282553, 285195, 2876, 2890, 2898, 2903, 29091, 2918, 2944, 2950, 3002, 30061, 3069, 3105, 3123, 3198, 3237, 324, 3265, 3346, 3351, 3352, 3356, 3359, 3361, 3458, 3479, 3481, 3486, 3557, 3558, 3565, 3567, 3569, 3586, 3596, 36, 3600, 361, 3628, 367, 3676, 3690, 3778, 387577, 3912, 3927, 3952, 40, 406900, 407010, 4128, 4129, 4139, 4163, 4204, 4208, 4233, 4282, 438, 4520, 4524, 4642, 4763, 4843, 4862, 4893, 4897, 4908, 4909, 4915, 5020, 5021, 5054, 5067, 5071, 5080, 50944, 5141, 5142, 51592, 51725, 51733, 5175, 5187, 5294, 5307, 5321, 5329, 53615, 54221, 54413, 5443, 5444, 54538, 54551, 54715, 54806, 551, 552, 554314, 5551, 5579, 5617, 5618, 5649, 57194, 5728, 5743, 57502, 57575, 57680, 596, 6091, 6092, 6095, 6134, 627, 6332, 6343, 64221, 64324, 64326, 643586, 6507, 6532, 6535, 6573, 6779, 6804, 686, 6948, 6999, 7018, 7133, 721, 7248, 7249, 7328, 7337, 7432, 7436, 7472, 7498, 7508, 775, 7812, 796, 8128, 8216, 8242, 83943, 8456, 847, 85358, 8604, 8828, 8831, 8912, 8930, 9013, 9025, 9037, 9228, 93664, 9378, 93986, 94313, 9568, 9732, 9820, 9855"
C0031117,Peripheral Neuropathy,nervous system disease,"100126572, 100170841, 10038, 10057, 10125, 10129, 1020, 1022, 10257, 1029, 10461, 10561, 10577, 10592, 10643, 1066, 1071, 10732, 10859, 10891, 10908, 11006, 11056, 1111, 11190, 113510, 114785, 114880, 115265, 1158, 1200, 1244, 126129, 1299, 1396, 142, 1437, 1440, 1493, 151126, 154, 1544, 157313, 1582, 1588, 1591, 159162, 1612, 1617, 1621, 1633, 1649, 169270, 1780, 1806, 19, 1906, 1950, 196, 201299, 2052, 2064, 2067, 2068, 2071, 2072, 2099, 216, 2264, 22943, 23005, 23150, 23170, 23178, 23221, 23242, 2327, 2328, 23563, 23683, 239, 2528, 2571, 2574, 2575, 2576, 2578, 2579, 25830, 25894, 26022, 266740, 2670, 26748, 2690, 2707, 27257, 27340, 2735, 28232, 2838, 2876, 2950, 2954, 2956, 2965, 2999, 3044, 3059, 30812, 3161, 326624, 3364, 338, 3383, 3399, 3439, 3460, 3479, 3480, 3500, 3508, 3557, 3558, 3562, 3569, 3606, 3662, 368, 3690, 3725, 3904, 3953, 4041, 4049, 4058, 410, 4101, 4153, 4193, 421, 4255, 4288, 4314, 4330, 4361, 4363, 440279, 440823, 4524, 4548, 4595, 4644, 467, 472, 4744, 4803, 4852, 5055, 50999, 51129, 51207, 51608, 51646, 5243, 5244, 5294, 5329, 5376, 53904, 540, 5423, 5428, 5445, 5452, 5467, 54756, 5478, 548313, 54842, 54908, 54935, 55061, 55075, 55215, 55220, 55247, 5530, 55530, 55644, 55809, 5581, 56164, 5689, 5695, 57054, 57082, 57135, 57379, 5740, 5742, 57535, 57716, 578, 5783, 5799, 581, 6095, 6240, 6352, 6401, 6403, 6442, 64788, 6492, 65018, 65059, 65125, 6555, 658, 6584, 66002, 6648, 6649, 6715, 6716, 672, 675, 6756, 6757, 6759, 6778, 6787, 6790, 6820, 6891, 6925, 706, 7099, 7124, 7173, 7223, 7227, 7345, 7350, 7364, 7380, 7450, 7481, 7486, 7504, 774, 79071, 7918, 7979, 8110, 8139, 81537, 81569, 83439, 83660, 842, 84668, 84898, 8618, 8647, 8712, 8714, 8797, 8829, 890, 9, 90381, 9046, 9103, 91179, 9154, 9156, 9258, 9358, 9376, 939, 944, 9452, 949, 9499, 960, 9709, 9757, 9896, 990, 9989, 9990"
C1333990,Hereditary Nonpolyposis Colorectal Cancer,monogenic disease,"27030, 2956, 3845, 4072, 4292, 4436, 5290, 5378, 5395, 6224, 657, 7048, 9209"
C0035309,Retinal Diseases,nervous system disease,"100506658, 10806, 1103, 1297, 23411, 30813, 3162, 3383, 3440, 4318, 4543, 4843, 5155, 5311, 5788, 7070, 7124, 7274, 7422, 7431, 8322"
C0023487,Acute Promyelocytic Leukemia,cancer,"1050, 1053, 1668, 207, 2152, 2322, 2735, 2736, 3458, 3605, 366, 3683, 3684, 3687, 3689, 406948, 406950, 4869, 4926, 5371, 5573, 5909, 5914, 64859, 6608, 6777, 7056, 7704, 79718, 81608, 960"
C0007134,Renal Cell Carcinoma,cancer,"102724265, 10397, 10404, 10950, 11214, 11236, 114788, 120892, 1265, 1381, 1410, 142685, 144132, 1508, 1509, 158584, 1612, 1938, 201163, 2034, 2064, 210, 216, 23037, 23042, 2321, 23224, 23532, 238, 2475, 25844, 25953, 2705, 283092, 284013, 2886, 29072, 2944, 2950, 2952, 3035, 307, 317, 3313, 3315, 332, 3329, 343930, 3440, 353, 3566, 3569, 3570, 3596, 374393, 3778, 3855, 3856, 3882, 3897, 3945, 4074, 4233, 4286, 43, 4585, 4771, 4968, 5037, 5058, 50944, 5162, 5230, 5290, 53353, 5443, 54790, 55193, 55367, 5546, 55745, 56776, 5728, 5743, 57731, 5816, 590, 5970, 6261, 6423, 6513, 6526, 6648, 6921, 6927, 6928, 7030, 7052, 7157, 7248, 7428, 79026, 79444, 8028, 81562, 822, 8242, 8314, 835, 8407, 84433, 84925, 8633, 8738, 8743, 8790, 89795, 9045, 91661, 91662, 91752, 949, 95, 9745, 9817, 9820, 9839"
C0018099,Gout,musculoskeletal system disease,"126133, 2263, 22900, 254263, 2646, 3553, 4296, 56606, 929, 9429"
C0011616,Contact Dermatitis,integumentary system disease,"10850, 11004, 1230, 1394, 1490, 1520, 1543, 1545, 1646, 1649, 1672, 1728, 1843, 196, 2167, 2312, 2315, 23657, 2495, 2539, 2720, 2729, 2833, 2936, 2937, 2950, 3084, 30968, 3108, 3162, 3315, 3320, 3485, 3489, 3606, 3621, 3849, 3851, 3858, 3934, 4317, 4319, 4835, 5008, 51311, 5266, 54578, 54658, 57016, 5718, 596, 6279, 6288, 6317, 6318, 6647, 6649, 7099, 7177, 7295, 7296, 7422, 841, 8544, 8744, 9076, 942, 9547, 9588, 960, 9759"
C0011615,"Dermatitis, Atopic",integumentary system disease,"100533107, 100874011, 101927260, 101927774, 102465537, 10665, 11127, 1232, 1234, 129446, 151887, 22891, 2312, 2720, 282617, 2833, 284382, 3106, 339400, 3458, 3553, 3565, 3567, 3569, 3586, 3596, 3627, 386653, 5017, 5089, 5465, 54778, 5599, 56946, 6279, 6352, 6356, 6361, 6367, 6369, 63940, 6401, 6556, 6778, 7148, 84433, 85480, 8809, 8875, 8876, 90865"
C0007873,Uterine Cervical Neoplasm,cancer,"10401, 1499, 1956, 2067, 2261, 2475, 3115, 3116, 3280, 4524, 4851, 4853, 5457, 5915, 6774, 7015, 7472, 7474, 7528, 81037, 841, 9582"
C0878544,Cardiomyopathies,cardiovascular system disease,"10060, 111, 116, 135, 142, 1431, 1432, 154, 1559, 156, 1756, 1824, 1829, 183, 1832, 1906, 2010, 2056, 207, 23171, 27063, 282996, 3082, 3329, 3336, 355, 3552, 3553, 356, 3565, 3569, 359, 3688, 3920, 3939, 4000, 4023, 4217, 4512, 4607, 4625, 467, 4720, 4729, 4879, 4973, 51422, 5164, 5443, 5467, 54968, 5502, 551, 554, 5563, 5581, 5594, 5595, 5600, 57158, 57381, 5743, 57724, 624, 6262, 6331, 6443, 6444, 6648, 6774, 7066, 7097, 7124, 7137, 7139, 7168, 7414, 7533, 7840, 79188, 8048, 84665, 84676, 847, 85366, 873, 88, 91624, 9499, 9997"
C0010068,Coronary heart disease,cardiovascular system disease,"100048912, 100188836, 100188877, 100507308, 10665, 11173, 136991, 148738, 1524, 1636, 1952, 2100, 217, 221692, 22808, 2321, 23293, 23294, 23316, 25902, 283450, 338, 338334, 345, 348, 3570, 375056, 387573, 387584, 387585, 388165, 3949, 3988, 4018, 4023, 4088, 4524, 4633, 4660, 490, 51530, 5175, 5328, 5444, 54805, 55219, 55351, 55759, 55973, 57608, 64240, 65264, 6581, 6597, 6927, 6943, 79001, 7941, 80350, 80724, 84439, 84624, 84722, 8613, 8701, 8882, 91851, 948"
C0007137,Squamous cell carcinoma,cancer,"10399, 1050, 1410, 1457, 1459, 1460, 1544, 1545, 1834, 1956, 2023, 2068, 207, 2260, 23410, 2597, 2810, 2876, 28998, 29108, 2944, 301, 302, 3065, 3066, 308, 3082, 3265, 3312, 3315, 338442, 3440, 3569, 3576, 360, 3678, 3688, 3713, 374, 3845, 3848, 3854, 3858, 3861, 3963, 4014, 4118, 4233, 4318, 4489, 4780, 51151, 51741, 5223, 5290, 5478, 5594, 5595, 56952, 5731, 5743, 5747, 5915, 6317, 6648, 6657, 6698, 6774, 6794, 7012, 7040, 7157, 7167, 7248, 7249, 7298, 7372, 7417, 7422, 7979, 8202, 8626, 8843, 90417, 9582, 999"
C0079541,Holoprosencephaly,congenital nervous system abnormality,"117190, 2619, 3244, 4838, 57045, 5727, 6469, 6496, 6997, 7050"
C0029456,Osteoporosis,musculoskeletal system disease,"100188853, 100188854, 10376, 10487, 10576, 10584, 10935, 111, 11138, 11315, 11343, 114876, 118429, 1277, 1278, 1588, 2023, 2122, 220164, 2243, 2244, 25796, 2597, 2820, 2876, 2934, 302, 338382, 3418, 348751, 3569, 3570, 4041, 4057, 471, 4860, 4982, 501, 5019, 5034, 5315, 5341, 5443, 54503, 5683, 5686, 5741, 5906, 5972, 6251, 6648, 7040, 7094, 71, 7167, 7171, 7307, 7414, 7421, 7471, 760, 799, 8572, 8600, 92344, 9365, 9948"
C0039685,Tetralogy of Fallot,cardiovascular system disease,"10370, 137814, 140628, 1482, 182, 2262, 2296, 2303, 23414, 2626, 2627, 2657, 2702, 6899, 8829, 8928, 9464"
C0043459,Zellweger Syndrome,inherited metabolic disorder,"3295, 5189, 5190, 5192, 5193, 5194, 5195, 55670, 5824, 5825, 5828, 5830, 8504, 8799, 9409"
C0018801,Heart failure,cardiovascular system disease,"10516, 10891, 112616, 1401, 1431, 1437, 1440, 1490, 152, 153, 1536, 155, 161725, 1636, 183, 185, 1906, 2053, 213, 2628, 2641, 2660, 27035, 2879, 2920, 2932, 3084, 3091, 3162, 325, 3315, 3357, 3458, 3553, 3569, 3630, 3688, 4306, 478, 4843, 4846, 487, 4878, 4879, 488, 4881, 4973, 50507, 5054, 5170, 51738, 5294, 5327, 5443, 5502, 551, 554, 5609, 5617, 5663, 5741, 5742, 5743, 5879, 5972, 6548, 6647, 6648, 6649, 7124, 7132, 7139, 7422, 7450, 7498, 8204, 847, 90226, 9370, 9518"
C0524851,Neurodegenerative Disorders,nervous system disease,"1410, 2056, 23411, 2495, 2668, 2878, 2936, 2944, 2946, 2948, 2949, 3060, 3162, 347, 351, 3569, 3620, 4137, 4257, 4803, 4804, 5265, 5311, 5413, 54902, 5663, 56894, 6414, 6622, 6648, 6709, 7431, 80025, 8622, 8942, 9118, 9446"
C0004763,Barrett Esophagus,gastrointestinal system disease,"1012, 1592, 23373, 2520, 3082, 3576, 4170, 5468, 56475, 5743, 5970, 6548, 6750, 81696, 8854, 8856"
C0265965,Dyskeratosis Congenita,integumentary system disease,"1736, 26277, 5073, 51750, 54433, 55135, 55505, 55651, 7012, 7015, 79650, 80169"
C0087012,"Ataxia, Spinocerebellar",nervous system disease,"10939, 140451, 146057, 2296, 23152, 25894, 2672, 342371, 5521, 5582, 6310, 6311, 6314, 6712, 773, 84991"
C0037274,Dermatologic disorders,integumentary system disease,"10142, 10308, 10443, 118856, 2068, 2263, 22902, 23043, 239, 2707, 2803, 2920, 2921, 2944, 29896, 3304, 3398, 3440, 3552, 3553, 3554, 3557, 3569, 3759, 414062, 4524, 4616, 4714, 4929, 4968, 5142, 5209, 54345, 54469, 55422, 5652, 56547, 57162, 5728, 5743, 5806, 5991, 5996, 6314, 6351, 6364, 6421, 6498, 6648, 6730, 6742, 7109, 7124, 7130, 7324, 79101, 8554, 8615, 8870, 8975, 9034, 9308, 9365, 9446, 9562, 960"
C0520459,Necrotizing Enterocolitis,gastrointestinal system disease,"10327, 11315, 1839, 2023, 217, 3313, 333929, 34, 3957, 4057, 4843, 4846, 4942, 51084, 6648, 6652, 7099"
C0015625,Fanconi Anemia,immune system disease,"2072, 2175, 2176, 2177, 2178, 2187, 2188, 2189, 29089, 4599, 55120, 55215, 57697, 5889, 675, 7124, 79728, 83990, 84464"
C0041948,Uremia,urinary system disease,"2056, 2321, 3383, 3791, 4256, 4846, 4982, 5741, 6446, 650, 6678, 6696, 7040, 7046, 7412, 7421, 860"
C0023891,"Liver Cirrhosis, Alcoholic",gastrointestinal system disease,"1281, 1571, 3569, 4088, 4313, 4353, 53345, 596, 5970, 6648, 7040, 7076, 7124, 79143, 80339, 847"
C0023890,Liver Cirrhosis,gastrointestinal system disease,"100313838, 1131, 120227, 1268, 1269, 1277, 1281, 148, 1490, 1499, 150684, 1593, 1717, 183, 203286, 213, 2147, 2149, 2152, 2153, 2247, 2252, 2263, 2321, 2638, 3082, 3291, 3439, 3569, 3727, 3856, 3875, 405, 406997, 407026, 407030, 407032, 4088, 4313, 442895, 442913, 4780, 4864, 4878, 5244, 5265, 5328, 540, 54822, 55532, 574506, 59, 5972, 6347, 6678, 6696, 6772, 7040, 7057, 7133, 7422, 871, 91147, 929"
C0042373,Vascular Diseases,cardiovascular system disease,"10398, 10516, 196, 2056, 217, 2641, 3082, 4524, 4638, 5311, 6559, 6648, 7076, 7124, 79001, 79924"
C0023892,Biliary cirrhosis,immune system disease,"1003, 10412, 10537, 123264, 1244, 163486, 200931, 23274, 3091, 3385, 3484, 3575, 3592, 3593, 3627, 3855, 4015, 4017, 4283, 4790, 5244, 6352, 643, 6522, 6689, 6775, 7132, 7297, 79258, 915, 941, 9429, 954"
C0023895,Liver diseases,gastrointestinal system disease,"1230, 1241, 1281, 1440, 1544, 1728, 174, 196, 2027, 210, 23576, 23600, 241, 249, 2570, 2678, 27040, 27306, 2869, 2875, 3101, 3162, 3303, 3556, 3581, 3589, 3694, 3728, 4318, 4524, 4790, 4843, 4864, 5265, 540, 54210, 56624, 5879, 59, 598, 6039, 6309, 6341, 6347, 6430, 6489, 6647, 6783, 7051, 7078, 7104, 7124, 729230, 7295, 7305, 7850, 83716, 8651, 8829, 885, 9021, 915, 942, 9420, 94235, 974, 9971"
C0023418,leukemia,cancer,"10848, 2078, 2099, 2246, 2305, 23532, 29072, 2944, 3240, 329, 330, 3558, 366, 367, 3717, 4255, 4297, 54541, 55512, 5590, 55904, 572, 5728, 5781, 595, 7153, 7490, 8202, 8743, 8837, 8877, 9446"
C0027765,nervous system disorder,nervous system disease,"10392, 10908, 1137, 1244, 1440, 154, 1558, 1559, 1719, 1806, 2019, 2290, 2353, 2670, 2990, 3399, 3785, 388585, 429, 43, 4524, 4552, 467, 4760, 4773, 4803, 4842, 4851, 5054, 5179, 5243, 54902, 55738, 5625, 5743, 627, 6315, 6334, 6414, 6470, 6513, 6531, 6555, 6571, 6573, 6647, 7124, 7274, 7298, 836, 842, 84254, 9429"
C0149925,Small cell carcinoma of lung,cancer,"10397, 107, 11228, 1152, 121256, 1284, 1387, 1440, 169044, 1956, 1993, 201229, 2033, 2045, 2260, 22982, 23314, 26047, 2899, 2918, 3398, 3642, 3815, 429, 4297, 4610, 551, 55605, 57088, 5728, 57683, 5925, 6597, 6657, 7157, 7161, 8570, 862, 9353, 9425, 9699, 9774"
C0022661,"Kidney Failure, Chronic",urinary system disease,"1374, 1401, 1535, 1536, 1555, 1557, 1636, 1839, 19, 2056, 213, 2168, 2194, 2981, 3156, 3162, 3479, 3569, 38, 4481, 4627, 4790, 4803, 50507, 5054, 5076, 51085, 51094, 5465, 56729, 5742, 5743, 57817, 5970, 6347, 653361, 6720, 6721, 7040, 7124, 847, 9370, 949, 9619, 968"
C0014544,Epilepsy,nervous system disease,"101927235, 102724058, 10617, 1106, 112755, 1128, 1129, 1131, 116442, 150, 207, 2081, 213, 22953, 2316, 23271, 2348, 2353, 2354, 2562, 26047, 26053, 2670, 2876, 2903, 2904, 2911, 348980, 3611, 375449, 3756, 3785, 4208, 4317, 4852, 4887, 4985, 4988, 5025, 5099, 5243, 5428, 5443, 57282, 57468, 57526, 5789, 627, 6323, 6326, 6334, 6415, 6505, 6506, 6507, 6558, 7248, 7249, 7296, 7337, 7416, 7417, 79944, 8404, 8514, 8831"
C0009324,Ulcerative Colitis,gastrointestinal system disease,"1001, 100529151, 100533107, 100996485, 100996583, 10109, 101927324, 10320, 10544, 10747, 11261, 11315, 120400, 1235, 132612, 146198, 149233, 150962, 159296, 1611, 1670, 1671, 1811, 1893, 201266, 219771, 2212, 23046, 23252, 23308, 2494, 2768, 3117, 3123, 3172, 327, 3383, 345611, 3553, 3575, 3576, 3577, 3579, 3586, 3593, 3663, 3683, 3717, 3912, 400935, 4046, 4057, 4318, 4353, 4485, 4584, 4790, 51460, 51738, 51750, 5334, 54535, 54546, 55765, 55801, 55876, 5739, 5771, 5788, 5970, 629, 6364, 639, 64127, 64170, 646982, 647215, 6556, 6774, 7124, 7412, 7850, 8209, 836, 84441, 8624, 8767, 8807, 8877, 8924, 8927, 94103, 9966, 999"
C0021400,Influenza,viral infectious disease,"10346, 10410, 10561, 10964, 11277, 23424, 23586, 24138, 2537, 2633, 27074, 27348, 3429, 3430, 3433, 3434, 3437, 3627, 3665, 4061, 4599, 4600, 467, 4938, 4939, 4940, 51191, 5359, 54739, 54809, 54877, 55008, 55601, 5610, 6347, 6355, 64108, 64135, 64761, 6614, 6772, 710, 7130, 7503, 80830, 8638, 8743, 91543, 9246, 9376, 9636, 9997"
C1527336,Sjogren's Syndrome,immune system disease,"10318, 134728, 1609, 2212, 2969, 3592, 50618, 55023, 639, 6775, 7128, 9232"
C0022665,Kidney Neoplasm,cancer,"1027, 10397, 1543, 1978, 2952, 3558, 3604, 5243, 540, 54880, 558, 5594, 5595, 5743, 5894, 595, 6528, 6596, 6648, 673, 6790, 7249, 7428, 83593, 8743, 883, 9235"
C0023264,Leigh Disease,inherited metabolic disorder,"123263, 1355, 137682, 1738, 1892, 374291, 4508, 4514, 4535, 4536, 4537, 4538, 4540, 4541, 4566, 4567, 4577, 4578, 4695, 4720, 4722, 4723, 4724, 4728, 51204, 5428, 55572, 55699, 617, 6389, 6834, 79133, 79731, 91942, 9997"
C0023290,"Leishmaniasis, Visceral",parasitic infectious disease,"1401, 1437, 3117, 3123, 3162, 3458, 3553, 3569, 3576, 3586, 3587, 387582, 6556, 7124"
C0014549,Tonic-Clonic Epilepsy,nervous system disease,"10763, 1565, 1839, 2247, 4803, 4908, 5020, 5443, 590, 627"
C0018799,Heart Diseases,cardiovascular system disease,"1244, 126393, 1401, 1440, 146862, 150, 1535, 183, 2056, 213, 23411, 2641, 3032, 3065, 328, 407040, 4363, 4502, 4689, 4879, 488, 4968, 522, 5515, 567, 5683, 57104, 5739, 5880, 5916, 6341, 6508, 6696, 6925, 7054, 7076, 7137, 7139, 7422, 7498, 8841, 8927, 9294"
C0023493,Adult T-Cell Lymphoma/Leukemia,cancer,"1233, 1236, 1452, 1457, 1460, 1493, 1880, 22807, 2534, 2625, 29851, 3181, 3195, 332, 3439, 3440, 3458, 3558, 3565, 3586, 3662, 50943, 5335, 5579, 654, 6774, 7014, 7161, 7409, 84433, 940"
C0008312,Primary biliary cirrhosis,immune system disease,"101928376, 10665, 22806, 23228, 23274, 23534, 3592, 3594, 3595, 3663, 4664, 51300, 5450, 5890, 6689, 6775, 7132, 730109, 79258, 84961, 8986, 9844, 9966"
C0017601,Glaucoma,nervous system disease,"100048912, 100287616, 1029, 1030, 10587, 120526, 1301, 144100, 196294, 23424, 26610, 2762, 344148, 4016, 4638, 51071, 5373, 54715, 55133, 60312, 7042, 8671"
C0005283,beta Thalassemia,monogenic disease,"1723, 2056, 3040, 3043, 3934, 57817, 7036, 7037, 7372, 790"
C0032914,Pre-Eclampsia,cardiovascular system disease,"10699, 1356, 150142, 1636, 183, 1906, 2052, 219736, 2259, 23077, 2321, 23526, 23564, 308, 3162, 3624, 4846, 5054, 5177, 6337, 780908, 780909"
C0023186,Learning Disorders,developmental disorder of mental health,"10280, 10367, 2890, 3162, 3350, 3363, 347, 351, 3553, 3557, 4137, 4204, 43, 4763, 5071, 5153, 5368, 5447, 5663, 57030, 57084, 596, 6855, 7054, 7200, 7422, 84282"
C0023976,Long QT Syndrome,monogenic disease,"10142, 1832, 23171, 287, 3753, 3757, 3759, 3784, 5443, 5728, 6262, 6331, 6640, 775, 859, 9992"
C0006413,Burkitt Lymphoma,cancer,"10672, 10693, 10841, 27113, 27164, 3399, 4609, 5087, 5091, 5295, 53947, 5979, 6597, 6929, 8289"
C0022116,Ischemia,cardiovascular system disease,"1158, 134, 1356, 140, 1958, 2833, 3162, 3569, 4846, 5020, 5111, 5328, 54205, 5468, 551, 5601, 581, 59, 5972, 6275, 6387, 6647, 6648, 7157, 7498, 871, 968"
C0005684,Malignant neoplasm of urinary bladder,cancer,"10460, 1198, 2261, 342184, 3845, 4046, 54575, 54576, 54901, 55824, 55892, 5925, 6563, 7248, 8000, 81037"
C0032580,Adenomatous Polyposis Coli,monogenic disease,"1592, 207, 2328, 26585, 324, 4163, 4595, 4913, 5743, 6648"
C0040128,Thyroid Diseases,endocrine system disease,"10618, 163223, 163882, 1733, 1734, 3398, 3399, 3693, 51454, 6347, 687, 6926"
C0752347,Lewy Body Disease,nervous system disease,"177, 1906, 199, 2629, 2670, 348, 3480, 3481, 3482, 3630, 3643, 4099, 4803, 4914, 4915, 6620, 6622, 6648, 8678"
C0038356,Stomach Neoplasms,cancer,"1000, 100124700, 10131, 10148, 1019, 10232, 1026, 1027, 1029, 1032, 10330, 10395, 10468, 10528, 10550, 10574, 1075, 11197, 11200, 1152, 116135, 1182, 1201, 123, 125997, 131566, 1316, 1365, 1469, 1496, 1514, 153, 154, 1548, 1636, 1642, 1647, 1674, 174, 1786, 1789, 1798, 1806, 1839, 186, 1890, 1892, 1915, 1917, 1956, 196, 2023, 2064, 2067, 2068, 213, 2149, 220, 2203, 2263, 2266, 2272, 2286, 229, 23201, 23246, 240, 245972, 2520, 2534, 25824, 26135, 26137, 26585, 27034, 27131, 27145, 27339, 2737, 28973, 28998, 29108, 2950, 29777, 29894, 308, 30834, 3162, 3191, 3199, 324, 3265, 328, 329, 3312, 3315, 332, 3329, 335, 3350, 3384, 3400, 3420, 3486, 3490, 3553, 3557, 3569, 3570, 3576, 3604, 3621, 3659, 3678, 3725, 374, 3814, 3845, 3856, 387, 3958, 3992, 4074, 4089, 4139, 4233, 4291, 4297, 4316, 4319, 4487, 4502, 4524, 4582, 4588, 4595, 4599, 4609, 4695, 4719, 472, 4723, 4846, 4869, 4907, 501, 5036, 5054, 5055, 5080, 50813, 51035, 51042, 51196, 51292, 51501, 51594, 5160, 51728, 51741, 5223, 5245, 5265, 5290, 5325, 5328, 53635, 54474, 5468, 54739, 5478, 5480, 54894, 5518, 5524, 553158, 5550, 5562, 5564, 55739, 55743, 5579, 5594, 5595, 5599, 5621, 56287, 5655, 56915, 5743, 57610, 5792, 5793, 58508, 5886, 5915, 5918, 59340, 5947, 595, 5950, 598, 5997, 6095, 6137, 6138, 6141, 6194, 6209, 6223, 6227, 6231, 6257, 627, 637, 645, 64963, 650, 6506, 655, 6615, 6628, 664, 6648, 6700, 6721, 6774, 6926, 70, 7022, 7039, 7056, 7078, 7124, 7157, 7170, 7291, 7298, 7372, 7515, 7517, 759, 760, 7730, 79187, 79633, 79852, 8000, 80324, 80328, 8148, 81605, 8189, 8190, 8289, 83998, 841, 843, 84364, 84527, 84634, 84654, 84790, 8516, 8530, 857, 8611, 864, 8644, 8660, 8744, 8802, 8857, 8991, 90338, 9136, 9212, 9235, 9277, 960, 9725, 9788, 9805, 999"
C0238463,Papillary thyroid carcinoma,cancer,"10342, 1964, 2120, 2304, 23085, 238, 3265, 3845, 4893, 4914, 4916, 51079, 5108, 51592, 5468, 5573, 5979, 5987, 673, 7080, 7175, 729582, 7849, 8030, 8031, 8805, 9950"
C0042900,Vitiligo,immune system disease,"10019, 101929163, 10255, 10766, 114904, 116449, 1235, 148022, 2175, 23322, 26191, 27086, 3002, 3559, 4026, 4157, 473, 53347, 56244, 57178, 60468, 6311, 64094, 64135, 64375, 6503, 6506, 7038, 7299, 80736, 840, 8635, 8924, 941, 960"
